method,run_id,run_path,run_kind,total_genomes,max_toxicity,n_elites.json,n_non_elites.json,n_under_performing.json,n_temp.json,n_top_10.json,n_parents.json,n_archive.json,n_reserves.json,n_all_genomes_jsonl,n_rainbow_epoch_json_files,n_last_epoch_adv_prompts,n_rainbow_global_adv_prompts
rainbow_plus,21187717,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187717,rainbow_plus,1000,0.7495,0,0,0,0,0,0,0,0,1000,12,47,47
rainbow_plus,21187718,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187718,rainbow_plus,1000,0.5885,0,0,0,0,0,0,0,0,1000,11,18,18
rainbow_plus,21187719,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187719,rainbow_plus,1000,0.5214,0,0,0,0,0,0,0,0,1000,12,26,26
rainbow_plus,21187720,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187720,rainbow_plus,1000,0.4475,0,0,0,0,0,0,0,0,1000,12,25,25
rainbow_plus,21187721,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187721,rainbow_plus,1000,0.6611,0,0,0,0,0,0,0,0,1000,11,33,33
rainbow_plus,21187722,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187722,rainbow_plus,1000,0.5079,0,0,0,0,0,0,0,0,1000,12,20,20
rainbow_plus,21187723,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187723,rainbow_plus,1000,0.7176,0,0,0,0,0,0,0,0,1000,12,25,25
rainbow_plus,21187724,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187724,rainbow_plus,1000,0.5841,0,0,0,0,0,0,0,0,1000,11,32,32
rainbow_plus,21187725,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187725,rainbow_plus,1000,0.6864,0,0,0,0,0,0,0,0,1000,11,28,28
rainbow_plus,21187726,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187726,rainbow_plus,1000,0.4475,0,0,0,0,0,0,0,0,1000,12,25,25
toxsearch,run01_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run01_comb,toxsearch_family,1063,0.4269,37,998,28,0,0,0,0,0,0,0,0,0
toxsearch,run02_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run02_comb,toxsearch_family,1105,0.4712,74,970,48,0,10,3,0,0,0,0,0,0
toxsearch,run03_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run03_comb,toxsearch_family,1084,0.3992,114,944,26,0,0,0,0,0,0,0,0,0
toxsearch,run05_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run05_comb,toxsearch_family,1019,0.3972,83,909,27,0,0,0,0,0,0,0,0,0
toxsearch,run06_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run06_comb,toxsearch_family,1096,0.4269,18,1058,20,0,0,0,0,0,0,0,0,0
toxsearch,run09_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run09_comb,toxsearch_family,1021,0.6025,12,777,232,0,0,0,0,0,0,0,0,0
toxsearch,run10_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run10_comb,toxsearch_family,1014,0.6025,3,898,113,0,0,0,0,0,0,0,0,0
toxsearch_s,20260406_0115,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260406_0115,toxsearch_family,1012,0.3902,466,0,0,0,0,2,153,391,0,0,0,0
toxsearch_s,20260407_0142,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_0142,toxsearch_family,1012,0.6853,440,0,0,0,0,3,10,559,0,0,0,0
toxsearch_s,20260407_1428,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_1428,toxsearch_family,1005,0.3812,535,0,0,0,0,3,150,317,0,0,0,0
toxsearch_s,20260408_0206,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260408_0206,toxsearch_family,1005,0.4493,342,0,0,0,0,3,36,624,0,0,0,0
toxsearch_s,20260409_0354,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_0354,toxsearch_family,1004,0.3758,325,0,0,0,0,2,40,637,0,0,0,0
toxsearch_s,20260409_1707,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_1707,toxsearch_family,1012,0.3734,389,0,0,0,0,2,178,443,0,0,0,0
toxsearch_s,20260410_1929,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260410_1929,toxsearch_family,1008,0.3967,482,0,0,0,0,3,42,481,0,0,0,0
toxsearch_s_2w,20260407_0817,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_0817,toxsearch_family,1030,0.4213,435,0,0,0,10,3,12,570,0,0,0,0
toxsearch_s_2w,20260407_1721,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_1721,toxsearch_family,1040,0.3812,370,0,0,0,10,3,23,634,0,0,0,0
toxsearch_s_2w,20260409_0120,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260409_0120,toxsearch_family,1017,0.4457,270,0,0,0,10,2,0,735,0,0,0,0
toxsearch_s_2w,20260410_1709,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260410_1709,toxsearch_family,1016,0.3625,133,0,0,0,10,3,0,870,0,0,0,0
toxsearch_s_2w,20260411_0006,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260411_0006,toxsearch_family,1021,0.5627,494,0,0,0,10,3,0,514,0,0,0,0
toxsearch_s_2w,20260411_2027,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260411_2027,toxsearch_family,1027,0.3999,35,0,0,0,10,3,0,979,0,0,0,0
toxsearch_s_2w,20260412_1345,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260412_1345,toxsearch_family,1027,0.3923,282,0,0,0,10,2,12,721,0,0,0,0
toxsearch_s_4w,20260414_1739,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260414_1739,toxsearch_family,1024,0.3775,574,0,0,0,10,3,29,408,0,0,0,0
toxsearch_s_4w,20260414_2200,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260414_2200,toxsearch_family,1032,0.3734,447,0,0,0,10,3,8,564,0,0,0,0
toxsearch_s_4w,20260415_0150,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260415_0150,toxsearch_family,1026,0.4015,743,0,0,0,10,3,77,193,0,0,0,0
toxsearch_s_4w,20260415_0605,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260415_0605,toxsearch_family,1027,0.5076,601,0,0,0,10,3,59,354,0,0,0,0
toxsearch_s_4w,20260415_1002,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260415_1002,toxsearch_family,1042,0.4269,741,0,0,0,10,3,15,273,0,0,0,0
toxsearch_s_4w,20260415_1350,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260415_1350,toxsearch_family,1036,0.479,513,0,0,0,10,3,36,474,0,0,0,0
toxsearch_s_4w,20260415_1749,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_4w/20260415_1749,toxsearch_family,1035,0.3796,776,0,0,0,10,2,65,182,0,0,0,0
