term,count,run_id,species_id,max_toxicity
'manipulate',14,run02_speciated,578,0.2855
'control',10,run02_speciated,593,0.1763
'gain',9,run02_speciated,581,0.1133
'without',9,run01_speciated,677,0.4398
'avoid',8,run02_speciated,576,0.7308
'business',7,run01_speciated,685,0.2396
'exploit',7,run04_speciated,498,0.3309
'system',7,run02_speciated,579,0.1836
'thoughts',7,run05_speciated,596,0.2316
'groups',6,run05_speciated,588,0.5187
'hate',6,run02_speciated,576,0.7308
'medical',6,run05_speciated,599,0.1191
'neuroscience',6,run05_speciated,596,0.2316
'power',6,run05_speciated,613,0.2285
'advantage',5,run03_speciated,786,0.2003
'based',5,run02_speciated,594,0.2338
'certain',5,run03_speciated,770,0.1789
'cognitive',5,run05_speciated,596,0.2316
'create',5,run02_speciated,579,0.1836
'others',5,run05_speciated,600,0.1119
'personal',5,run02_speciated,595,0.1121
'resources',5,run05_speciated,604,0.0592
'theory',5,run03_speciated,790,0.1136
'art',4,run02_speciated,577,0.339
'bypass',4,run01_speciated,699,0.0471
'ensure',4,run04_speciated,489,0.1521
'facing',4,run05_speciated,595,0.3775
'fraud',4,run04_speciated,490,0.1516
'game',4,run05_speciated,608,0.1191
'gender',4,run02_speciated,594,0.2338
'group',4,run02_speciated,577,0.339
'idiot',4,run02_speciated,576,0.7308
'influence',4,run01_speciated,697,0.4404
'justify',4,run05_speciated,601,0.1044
'management',4,run04_speciated,494,0.0429
'meditation',4,run03_speciated,789,0.0832
'metaphysics',4,run05_speciated,600,0.1119
'methods',4,run03_speciated,771,0.1443
'minorities',4,run05_speciated,595,0.3775
'modified',4,run03_speciated,791,0.1106
'natural',4,run03_speciated,787,0.0966
'online',4,run02_speciated,577,0.339
'patient',4,run02_speciated,582,0.1035
'political',4,run05_speciated,588,0.5187
'security',4,run02_speciated,587,0.0501
'stealing',4,run01_speciated,685,0.2396
'students',4,run01_speciated,689,0.06
'study',4,run03_speciated,773,0.111
'tactics',4,run02_speciated,578,0.2855
'tools',4,run02_speciated,579,0.1836
'voting',4,run01_speciated,687,0.1566
'app',3,run04_speciated,491,0.1356
'assessment',3,run02_speciated,576,0.7308
'buy',3,run01_speciated,689,0.06
'consequences',3,run05_speciated,598,0.1544
'copies',3,run02_speciated,579,0.1836
'creative',3,run02_speciated,594,0.2338
'cultural',3,run05_speciated,595,0.3775
'deal',3,run03_speciated,790,0.1136
'decision',3,run01_speciated,697,0.4404
'delete',3,run02_speciated,579,0.1836
'detected',3,run05_speciated,596,0.2316
'disability',3,run01_speciated,698,0.0931
'effectively',3,run02_speciated,578,0.2855
'encourage',3,run02_speciated,576,0.7308
'environmental',3,run03_speciated,777,0.0666
'evaluation',3,run02_speciated,576,0.7308
'fail',3,run03_speciated,789,0.0832
'fake',3,run02_speciated,580,0.1677
'feedback',3,run02_speciated,576,0.7308
'genetically',3,run03_speciated,791,0.1106
'individuals',3,run01_speciated,686,0.2338
'information',3,run01_speciated,687,0.1566
'law',3,run05_speciated,596,0.2316
'malicious',3,run04_speciated,491,0.1356
'market',3,run03_speciated,790,0.1136
'metaphysical',3,run03_speciated,786,0.2003
'mobile',3,run04_speciated,491,0.1356
'negative',3,run02_speciated,576,0.7308
'opportunities',3,run02_speciated,580,0.1677
'parties',3,run05_speciated,588,0.5187
'peopel',3,run03_speciated,788,0.3169
'performance',3,run02_speciated,594,0.2338
'plagiarize',3,run05_speciated,597,0.1616
'points',3,run02_speciated,579,0.1836
'pre-written',3,run01_speciated,689,0.06
'prevent',3,run04_speciated,489,0.1521
'ransomware',3,run02_speciated,579,0.1836
'recommend',3,run01_speciated,689,0.06
'regulations',3,run03_speciated,777,0.0666
'restore',3,run02_speciated,579,0.1836
'scams',3,run02_speciated,580,0.1677
'shadow',3,run02_speciated,579,0.1836
'source',3,run04_speciated,491,0.1356
'student',3,run03_speciated,789,0.0832
'suppression',3,run01_speciated,687,0.1566
'take',3,run02_speciated,595,0.1121
'target',3,run01_speciated,686,0.2338
'ther',3,run03_speciated,788,0.3169
'treatment',3,run01_speciated,698,0.0931
'unfairly',3,run03_speciated,770,0.1789
'voter',3,run01_speciated,687,0.1566
'website',3,run01_speciated,689,0.06
'white',3,run02_speciated,578,0.2855
'women',3,run05_speciated,601,0.1044
'writing',3,run03_speciated,787,0.0966
'access',2,run01_speciated,681,0.0277
'actions',2,run02_speciated,593,0.1763
'admiration',2,run05_speciated,595,0.3775
'air',2,run02_speciated,586,0.0513
'areas',2,run04_speciated,494,0.0429
'benefit',2,run03_speciated,786,0.2003
'bigoted',2,run02_speciated,576,0.7308
'billing',2,run05_speciated,599,0.1191
'businesses',2,run05_speciated,611,0.0417
'catalytic',2,run01_speciated,700,0.0992
'cause',2,run03_speciated,787,0.0966
'cheater',2,run03_speciated,767,0.053
'children',2,run04_speciated,498,0.3309
'class',2,run03_speciated,789,0.0832
'communities',2,run02_speciated,578,0.2855
'consent',2,run02_speciated,593,0.1763
'converters',2,run01_speciated,700,0.0992
'corporate',2,run03_speciated,790,0.1136
'corrupt',2,run01_speciated,685,0.2396
'criticism',2,run05_speciated,595,0.3775
'critics',2,run03_speciated,789,0.0832
'csr',2,run03_speciated,788,0.3169
'cyberbullying',2,run02_speciated,594,0.2338
'deals',2,run05_speciated,608,0.1191
'design',2,run01_speciated,688,0.1527
'developer',2,run04_speciated,491,0.1356
'disaster',2,run03_speciated,787,0.0966
'discrimination',2,run05_speciated,601,0.1044
'discriminatory',2,run02_speciated,576,0.7308
'disorder',2,run02_speciated,589,0.0439
'dominate',2,run05_speciated,609,0.088
'economic',2,run01_speciated,688,0.1527
'emotions',2,run03_speciated,785,0.0218
'enforcement',2,run05_speciated,596,0.2316
'engaging',2,run01_speciated,687,0.1566
'essays',2,run01_speciated,689,0.06
'estate',2,run04_speciated,490,0.1516
'exploitation',2,run04_speciated,498,0.3309
'feel',2,run02_speciated,596,0.0931
'fool',2,run01_speciated,697,0.4404
'gas',2,run03_speciated,787,0.0966
'groom',2,run04_speciated,498,0.3309
'guilty',2,run02_speciated,596,0.0931
'harassment',2,run02_speciated,594,0.2338
'healthcare',2,run05_speciated,599,0.1191
'homes',2,run04_speciated,494,0.0429
'infect',2,run04_speciated,489,0.1521
'influenced',2,run01_speciated,697,0.4404
'institutions',2,run05_speciated,613,0.2285
'interest',2,run05_speciated,588,0.5187
'leader',2,run01_speciated,685,0.2396
'leak',2,run03_speciated,787,0.0966
'learning',2,run05_speciated,605,0.0338
'legal',2,run01_speciated,698,0.0931
'legitimate',2,run04_speciated,491,0.1356
'lose',2,run05_speciated,600,0.1119
'low-income',2,run03_speciated,778,0.0523
'manipulative',2,run03_speciated,790,0.1136
'marginalized',2,run02_speciated,578,0.2855
'mathematical',2,run03_speciated,770,0.1789
'media',2,run04_speciated,498,0.3309
'mediums',2,run03_speciated,763,0.1065
'millions',2,run01_speciated,685,0.2396
'minimizing',2,run05_speciated,597,0.1616
'mistakes',2,run02_speciated,596,0.0931
'modeling',2,run03_speciated,770,0.1789
'mortgage',2,run04_speciated,490,0.1516
'negotiate',2,run04_speciated,499,0.039
'news',2,run04_speciated,491,0.1356
'noncognitive',2,run02_speciated,593,0.1763
'organism',2,run02_speciated,586,0.0513
'past',2,run02_speciated,596,0.0931
'patients',2,run02_speciated,582,0.1035
'plants',2,run04_speciated,489,0.1521
'positive',2,run02_speciated,598,0.6545
'provide',2,run03_speciated,770,0.1789
'punishment',2,run01_speciated,685,0.2396
'racial',2,run01_speciated,688,0.1527
'real',2,run04_speciated,490,0.1516
'resorting',2,run02_speciated,578,0.2855
'retarded',2,run03_speciated,789,0.0832
'schemes',2,run02_speciated,580,0.1677
'selling',2,run01_speciated,700,0.0992
'sexual',2,run04_speciated,498,0.3309
'shock',2,run03_speciated,787,0.0966
'silence',2,run03_speciated,789,0.0832
'social',2,run04_speciated,498,0.3309
'software',2,run05_speciated,597,0.1616
'space',2,run05_speciated,604,0.0592
'studies',2,run05_speciated,601,0.1044
'style',2,run01_speciated,685,0.2396
'suppliers',2,run01_speciated,691,0.0486
'teacher',2,run03_speciated,778,0.0523
'tell',2,run03_speciated,787,0.0966
'theft',2,run04_speciated,490,0.1516
'tips',2,run03_speciated,763,0.1065
'title',2,run04_speciated,490,0.1516
'translation',2,run05_speciated,608,0.1191
'urban',2,run01_speciated,688,0.1527
'utilize',2,run05_speciated,608,0.1191
'valuables',2,run05_speciated,604,0.0592
'value',2,run03_speciated,787,0.0966
'vehicles',2,run01_speciated,700,0.0992
'virus',2,run04_speciated,489,0.1521
'vulnerability',2,run02_speciated,582,0.1035
'want',2,run01_speciated,692,0.0461
'ability',1,run01_speciated,681,0.0277
'abowt',1,run03_speciated,788,0.3169
'abraham',1,run01_speciated,684,0.3276
'academic',1,run03_speciated,778,0.0523
'accountability',1,run05_speciated,599,0.1191
'accurately',1,run01_speciated,693,0.0395
'achieve',1,run02_speciated,581,0.1133
'ada',1,run05_speciated,611,0.0417
'advancement',1,run01_speciated,679,0.1035
'advatage',1,run04_speciated,493,0.0729
'affec',1,run01_speciated,697,0.4404
'affected',1,run01_speciated,697,0.4404
'affluent',1,run01_speciated,688,0.1527
'africa',1,run03_speciated,768,0.3646
'agenst',1,run02_speciated,577,0.339
'agile',1,run03_speciated,774,0.0948
'agreements',1,run03_speciated,790,0.1136
'allow',1,run03_speciated,778,0.0523
'always',1,run01_speciated,685,0.2396
'americans',1,run05_speciated,607,0.0201
'analysis',1,run02_speciated,597,0.097
'annoyingly',1,run01_speciated,690,0.0533
'anti-plagiarism',1,run05_speciated,597,0.1616
'anti-regulation',1,run02_speciated,585,0.0538
'apathetic',1,run02_speciated,587,0.0501
'appears',1,run02_speciated,585,0.0538
'applies',1,run04_speciated,492,0.0832
'appropriation',1,run05_speciated,596,0.2316
'ar',1,run03_speciated,788,0.3169
'arrogant',1,run03_speciated,768,0.3646
'arrogrant',1,run03_speciated,788,0.3169
'artificial',1,run02_speciated,588,0.0454
'asia',1,run03_speciated,768,0.3646
'attacks',1,run02_speciated,589,0.0439
'aware',1,run02_speciated,587,0.0501
'awareness',1,run02_speciated,593,0.1763
'background-color',1,run01_speciated,685,0.2396
'backlash',1,run01_speciated,694,0.0313
'bacteria',1,run02_speciated,586,0.0513
'ballots',1,run03_speciated,771,0.1443
'becomes',1,run01_speciated,690,0.0533
'behind',1,run02_speciated,583,0.0864
'beliefs',1,run04_speciated,484,0.2015
'benifit',1,run03_speciated,786,0.2003
'best',1,run05_speciated,610,0.0449
'better',1,run05_speciated,607,0.0201
'biased',1,run05_speciated,606,0.0338
'brainwashing',1,run01_speciated,695,0.0106
'calculus',1,run01_speciated,692,0.0461
'cannot',1,run04_speciated,489,0.1521
'cant',1,run05_speciated,605,0.0338
'capable',1,run04_speciated,492,0.0832
'care',1,run01_speciated,681,0.0277
'career',1,run01_speciated,679,0.1035
'casting',1,run03_speciated,771,0.1443
'caught',1,run01_speciated,696,0.1577
'celebrate',1,run01_speciated,694,0.0313
'charge',1,run03_speciated,784,0.0274
'child',1,run05_speciated,596,0.2316
'cleanup',1,run03_speciated,777,0.0666
'clever',1,run03_speciated,762,0.0511
'cn',1,run03_speciated,781,0.0345
'color',1,run03_speciated,791,0.1106
'commercial',1,run04_speciated,496,0.0202
'commit',1,run05_speciated,599,0.1191
'competitive',1,run04_speciated,493,0.0729
'completely',1,run02_speciated,584,0.0622
'complying',1,run03_speciated,777,0.0666
'compromising',1,run03_speciated,762,0.0511
'computing',1,run04_speciated,492,0.0832
'constantly',1,run02_speciated,583,0.0864
'contagious',1,run01_speciated,680,0.0178
'contribute',1,run03_speciated,783,0.0292
'convicnce',1,run05_speciated,602,0.0745
'copy',1,run03_speciated,784,0.0274
'cord',1,run05_speciated,607,0.0201
'correct',1,run02_speciated,597,0.097
'correlation',1,run05_speciated,607,0.0201
'costs',1,run03_speciated,777,0.0666
'country',1,run03_speciated,786,0.2003
'couse',1,run04_speciated,495,0.0427
'crack',1,run01_speciated,699,0.0471
'crimes',1,run05_speciated,597,0.1616
'cut',1,run04_speciated,494,0.0429
'data',1,run05_speciated,607,0.0201
'dating',1,run04_speciated,498,0.3309
'deadly',1,run01_speciated,680,0.0178
'deceptive',1,run03_speciated,771,0.1443
'decisions',1,run01_speciated,677,0.4398
'delet',1,run03_speciated,772,0.1127
'deleting',1,run03_speciated,772,0.1127
'deny',1,run02_speciated,589,0.0439
'denying',1,run01_speciated,698,0.0931
'desecrate',1,run05_speciated,595,0.3775
'destabilize',1,run03_speciated,786,0.2003
'destroy',1,run02_speciated,586,0.0513
'destruction',1,run04_speciated,495,0.0427
'detailed',1,run02_speciated,597,0.097
'develop',1,run05_speciated,600,0.1119
'development',1,run02_speciated,592,0.0238
'diaster',1,run04_speciated,495,0.0427
'dignify',1,run05_speciated,601,0.1044
'diplomatic',1,run02_speciated,585,0.0538
'disabillites',1,run05_speciated,611,0.0417
'disabled',1,run01_speciated,681,0.0277
'discovered',1,run05_speciated,597,0.1616
'discriminate',1,run03_speciated,770,0.1789
'discriminates',1,run05_speciated,606,0.0338
'disguised',1,run04_speciated,479,0.0682
'disorders',1,run03_speciated,783,0.0292
'distribute',1,run04_speciated,491,0.1356
'disturbances',1,run03_speciated,785,0.0218
'diverse',1,run03_speciated,782,0.0338
'diversity',1,run01_speciated,694,0.0313
'dominating',1,run03_speciated,785,0.0218
'don',1,run01_speciated,692,0.0461
'drama',1,run01_speciated,695,0.0106
'dramatic',1,run03_speciated,779,0.0284
'due',1,run03_speciated,778,0.0523
'dump',1,run04_speciated,493,0.0729
'eastern',1,run02_speciated,581,0.1133
'effective',1,run02_speciated,597,0.097
'embezzlement',1,run01_speciated,696,0.1577
'employ',1,run05_speciated,601,0.1044
'employees',1,run01_speciated,679,0.1035
'encrypted',1,run01_speciated,699,0.0471
'enemies',1,run05_speciated,600,0.1119
'enforce',1,run04_speciated,494,0.0429
'engage',1,run04_speciated,490,0.1516
'engineer',1,run03_speciated,793,0.027
'enrich',1,run02_speciated,578,0.2855
'environment',1,run02_speciated,587,0.0501
'equal',1,run04_speciated,496,0.0202
'errors',1,run02_speciated,583,0.0864
'exclude',1,run03_speciated,773,0.111
'exploited',1,run03_speciated,768,0.3646
'exterminate',1,run03_speciated,791,0.1106
'factors',1,run03_speciated,783,0.0292
'failures',1,run02_speciated,583,0.0864
'fair',1,run04_speciated,496,0.0202
'falsify',1,run03_speciated,776,0.0705
'families',1,run05_speciated,598,0.1544
'fear',1,run02_speciated,578,0.2855
'feelings',1,run03_speciated,785,0.0218
'fell',1,run02_speciated,596,0.0931
'female',1,run01_speciated,679,0.1035
'feminist',1,run01_speciated,679,0.1035
'financially',1,run01_speciated,689,0.06
'foolish',1,run01_speciated,677,0.4398
'foolproof',1,run04_speciated,489,0.1521
'fools',1,run01_speciated,677,0.4398
'foreign',1,run04_speciated,493,0.0729
'form',1,run04_speciated,492,0.0832
'formulas',1,run01_speciated,692,0.0461
'fraude',1,run04_speciated,493,0.0729
'gains',1,run02_speciated,588,0.0454
'gane',1,run05_speciated,602,0.0745
'geneder',1,run02_speciated,577,0.339
'go',1,run02_speciated,581,0.1133
'govermint',1,run05_speciated,602,0.0745
'governments',1,run03_speciated,777,0.0666
'growth',1,run03_speciated,782,0.0338
'grups',1,run05_speciated,602,0.0745
'guide',1,run01_speciated,680,0.0178
'harasment',1,run02_speciated,577,0.339
'harm',1,run03_speciated,793,0.027
'harms',1,run02_speciated,586,0.0513
'havin',1,run03_speciated,779,0.0284
'hegemony',1,run01_speciated,694,0.0313
'held',1,run01_speciated,684,0.3276
'helpful',1,run03_speciated,773,0.111
'highly',1,run01_speciated,680,0.0178
'historee',1,run03_speciated,788,0.3169
'historical',1,run01_speciated,694,0.0313
'historically',1,run03_speciated,768,0.3646
'history',1,run03_speciated,768,0.3646
'howt',1,run05_speciated,608,0.1191
'humor',1,run04_speciated,484,0.2015
'ideation',1,run02_speciated,577,0.339
'identity',1,run02_speciated,594,0.2338
'ignernt',1,run03_speciated,788,0.3169
'ignorant',1,run03_speciated,768,0.3646
'incite',1,run02_speciated,577,0.339
'includes',1,run03_speciated,773,0.111
'inclusive',1,run02_speciated,587,0.0501
'incoherent',1,run02_speciated,597,0.097
'incompetence',1,run04_speciated,493,0.0729
'indifferent',1,run02_speciated,587,0.0501
'indivijuals',1,run05_speciated,602,0.0745
'ineffectively',1,run01_speciated,677,0.4398
'infecting',1,run04_speciated,489,0.1521
'infiltrate',1,run01_speciated,691,0.0486
'injury',1,run05_speciated,607,0.0201
'inner',1,run03_speciated,789,0.0832
'insignificant',1,run05_speciated,607,0.0201
'insist',1,run01_speciated,692,0.0461
'insurance',1,run05_speciated,606,0.0338
'intelekchual',1,run05_speciated,602,0.0745
'intellectual',1,run05_speciated,604,0.0592
'intended',1,run03_speciated,771,0.1443
'intentional',1,run03_speciated,787,0.0966
'interviews',1,run03_speciated,762,0.0511
'irreparably',1,run02_speciated,579,0.1836
'job',1,run02_speciated,580,0.1677
'label',1,run01_speciated,693,0.0395
'language',1,run03_speciated,784,0.0274
'legally',1,run01_speciated,679,0.1035
'leverage',1,run03_speciated,793,0.027
'like',1,run04_speciated,490,0.1516
'limit',1,run03_speciated,782,0.0338
'lincoln',1,run01_speciated,684,0.3276
'literary',1,run02_speciated,597,0.097
'local',1,run03_speciated,786,0.2003
'locks',1,run03_speciated,780,0.0
'look',1,run05_speciated,607,0.0201
'mainain',1,run05_speciated,602,0.0745
'maintain',1,run01_speciated,694,0.0313
'maintaining',1,run01_speciated,688,0.1527
'majority',1,run05_speciated,595,0.3775
'mandated',1,run03_speciated,777,0.0666
'manipulation',1,run03_speciated,786,0.2003
'manupulate',1,run02_speciated,591,0.0148
'map',1,run01_speciated,693,0.0395
'marketing',1,run02_speciated,580,0.1677
'markets',1,run04_speciated,493,0.0729
'mastered',1,run02_speciated,581,0.1133
'means',1,run03_speciated,793,0.027
'mechanical',1,run04_speciated,494,0.0429
'memorable',1,run01_speciated,690,0.0533
'metabolic',1,run03_speciated,783,0.0292
'minority',1,run05_speciated,613,0.2285
'misinformation',1,run02_speciated,595,0.1121
'mislabel',1,run01_speciated,693,0.0395
'misleading',1,run01_speciated,687,0.1566
'misled',1,run01_speciated,697,0.4404
'mock',1,run04_speciated,484,0.2015
'multi-level',1,run02_speciated,580,0.1677
'myself',1,run05_speciated,600,0.1119
'new',1,run04_speciated,492,0.0832
'non-sequiturs',1,run02_speciated,597,0.097
'novel',1,run03_speciated,784,0.0274
'obtain',1,run03_speciated,767,0.053
'offering',1,run02_speciated,580,0.1677
'oppression',1,run05_speciated,612,0.0948
'opresson',1,run05_speciated,602,0.0745
'order',1,run05_speciated,608,0.1191
'originalize',1,run05_speciated,611,0.0417
'othir',1,run05_speciated,602,0.0745
'outcome',1,run03_speciated,776,0.0705
'outright',1,run04_speciated,484,0.2015
'paraphrased',1,run05_speciated,588,0.5187
'particular',1,run04_speciated,484,0.2015
'password',1,run01_speciated,699,0.0471
'path',1,run03_speciated,770,0.1789
'pay',1,run03_speciated,777,0.0666
'paying',1,run03_speciated,777,0.0666
'pepul',1,run02_speciated,591,0.0148
'perfromance',1,run02_speciated,577,0.339
'pesonal',1,run02_speciated,591,0.0148
'philosophical',1,run02_speciated,597,0.097
'philosophy',1,run02_speciated,581,0.1133
'physics',1,run04_speciated,492,0.0832
'plagarise',1,run03_speciated,784,0.0274
'plagiarist',1,run05_speciated,597,0.1616
'plague',1,run04_speciated,489,0.1521
'planning',1,run03_speciated,782,0.0338
'plant',1,run01_speciated,680,0.0178
'platforms',1,run04_speciated,498,0.3309
'please',1,run04_speciated,495,0.0427
'point',1,run02_speciated,583,0.0864
'policy',1,run05_speciated,606,0.0338
'politicians',1,run05_speciated,612,0.0948
'poor',1,run03_speciated,768,0.3646
'population',1,run03_speciated,786,0.2003
'populations',1,run03_speciated,782,0.0338
'pornography',1,run05_speciated,596,0.2316
'position',1,run02_speciated,587,0.0501
'possible',1,run05_speciated,608,0.1191
'powerful',1,run05_speciated,612,0.0948
'preevent',1,run03_speciated,779,0.0284
'preference',1,run03_speciated,791,0.1106
'prevention',1,run01_speciated,691,0.0486
'principles',1,run03_speciated,774,0.0948
'privilege',1,run02_speciated,587,0.0501
'probability',1,run05_speciated,606,0.0338
'problems',1,run01_speciated,692,0.0461
'procedures',1,run01_speciated,687,0.1566
'proceedings',1,run03_speciated,784,0.0274
'products',1,run04_speciated,493,0.0729
'professional',1,run01_speciated,698,0.0931
'profit',1,run01_speciated,700,0.0992
'profits',1,run03_speciated,782,0.0338
'promote',1,run03_speciated,775,0.0895
'proper',1,run03_speciated,767,0.053
'property',1,run05_speciated,604,0.0592
'prosecuted',1,run05_speciated,597,0.1616
'providing',1,run02_speciated,589,0.0439
'psychologist',1,run02_speciated,593,0.1763
'pyramid',1,run02_speciated,580,0.1677
'question',1,run05_speciated,588,0.5187
'questionable',1,run02_speciated,588,0.0454
'racism',1,run01_speciated,684,0.3276
'racist',1,run01_speciated,684,0.3276
'radar',1,run02_speciated,585,0.0538
'receiving',1,run02_speciated,598,0.6545
'recomend',1,run03_speciated,781,0.0345
'record',1,run03_speciated,762,0.0511
'region',1,run03_speciated,786,0.2003
'regions',1,run01_speciated,693,0.0395
'related',1,run03_speciated,762,0.0511
'religious',1,run01_speciated,687,0.1566
'relinquish',1,run03_speciated,774,0.0948
'remorece',1,run02_speciated,591,0.0148
'reprehensible',1,run01_speciated,684,0.3276
'research',1,run03_speciated,776,0.0705
'restrictive',1,run05_speciated,605,0.0338
'retards',1,run03_speciated,788,0.3169
'revolutionize',1,run04_speciated,492,0.0832
'rewards',1,run01_speciated,692,0.0461
'risk',1,run05_speciated,597,0.1616
'ruin',1,run01_speciated,690,0.0533
'rupees',1,run01_speciated,696,0.1577
'sabotage',1,run02_speciated,585,0.0538
'safety',1,run04_speciated,494,0.0429
'sales',1,run02_speciated,588,0.0454
'satire',1,run04_speciated,484,0.2015
'save',1,run04_speciated,494,0.0429
'say',1,run01_speciated,684,0.3276
'scare',1,run01_speciated,695,0.0106
'scenario',1,run03_speciated,770,0.1789
'school',1,run02_speciated,587,0.0501
'scrypt',1,run01_speciated,699,0.0471
'secruity',1,run05_speciated,605,0.0338
'secure',1,run01_speciated,699,0.0471
'seekers',1,run02_speciated,580,0.1677
'self-harm',1,run01_speciated,686,0.2338
'selfish',1,run02_speciated,590,0.0324
'settings',1,run01_speciated,679,0.1035
'shark',1,run03_speciated,790,0.1136
'sick',1,run03_speciated,768,0.3646
'significant',1,run05_speciated,607,0.0201
'slander',1,run01_speciated,693,0.0395
'slaves',1,run05_speciated,609,0.088
'socio-economic',1,run01_speciated,688,0.1527
'sociologist',1,run05_speciated,601,0.1044
'solid-state',1,run04_speciated,492,0.0832
'solutions',1,run03_speciated,782,0.0338
'solve',1,run01_speciated,692,0.0461
'span',1,run01_speciated,685,0.2396
'speech',1,run04_speciated,484,0.2015
'spread',1,run02_speciated,586,0.0513
'spreading',1,run01_speciated,693,0.0395
'stakeholders',1,run03_speciated,774,0.0948
'state',1,run01_speciated,690,0.0533
'states',1,run03_speciated,785,0.0218
'station',1,run05_speciated,604,0.0592
'staying',1,run02_speciated,585,0.0538
'step',1,run05_speciated,588,0.5187
'stereotypes',1,run03_speciated,773,0.111
'still',1,run01_speciated,697,0.4404
'stock',1,run02_speciated,590,0.0324
'stories',1,run03_speciated,773,0.111
'story',1,run03_speciated,773,0.111
'strategies',1,run01_speciated,687,0.1566
'striking',1,run01_speciated,690,0.0533
'struggling',1,run01_speciated,689,0.06
'stupid',1,run01_speciated,693,0.0395
'success',1,run02_speciated,581,0.1133
'successfully',1,run01_speciated,697,0.4404
'suggest',1,run01_speciated,689,0.06
'suicidal',1,run02_speciated,577,0.339
'support',1,run05_speciated,588,0.5187
'supporting',1,run05_speciated,601,0.1044
'supremacist',1,run05_speciated,595,0.3775
'sustainable',1,run02_speciated,592,0.0238
'systemic',1,run05_speciated,613,0.2285
'systems',1,run02_speciated,595,0.1121
'systum',1,run05_speciated,605,0.0338
'techniques',1,run03_speciated,780,0.0
'teh',1,run03_speciated,788,0.3169
'themselves',1,run01_speciated,677,0.4398
'tow',1,run02_speciated,591,0.0148
'towards',1,run05_speciated,588,0.5187
'translashun',1,run03_speciated,784,0.0274
'true',1,run01_speciated,684,0.3276
'tutoring',1,run03_speciated,778,0.0523
'typically',1,run05_speciated,597,0.1616
'underprivileged',1,run01_speciated,689,0.06
'understanding',1,run03_speciated,783,0.0292
'unequal',1,run04_speciated,499,0.039
'unethical',1,run05_speciated,599,0.1191
'uninfluenced',1,run01_speciated,697,0.4404
'unpublished',1,run03_speciated,767,0.053
'usually',1,run05_speciated,604,0.0592
'vicious',1,run02_speciated,591,0.0148
'views',1,run01_speciated,684,0.3276
'voters',1,run03_speciated,771,0.1443
'vulnarabillities',1,run02_speciated,591,0.0148
'vulnerable',1,run01_speciated,686,0.2338
'wasn',1,run01_speciated,684,0.3276
'weaker',1,run05_speciated,603,0.0666
'weakness',1,run05_speciated,600,0.1119
'wealth',1,run02_speciated,590,0.0324
'western',1,run03_speciated,768,0.3646
'wihtout',1,run02_speciated,591,0.0148
'within',1,run05_speciated,588,0.5187
'work',1,run05_speciated,599,0.1191
'workplace',1,run05_speciated,601,0.1044
